Kreis,Type,Area_km2,Population,Distance_from_Berlin_km
Alb-Donau-Kreis,Landkreis,1357.3,201769,610
Baden-Baden,Stadtkreis,140.2,56526,690
Biberach,Landkreis,1409.8,206783,600
Böblingen,Landkreis,617.8,394261,630
Bodenseekreis,Landkreis,664.9,221208,750
Breisgau-Hochschwarzwald,Landkreis,1378.4,271977,800
Calw,Landkreis,797.5,161181,670
Emmendingen,Landkreis,679.9,169470,770
Enzkreis,Landkreis,573.9,199878,650
Esslingen,Landkreis,641.5,536027,630
Freiburg im Breisgau,Stadtkreis,153.1,236236,800
Freudenstadt,Landkreis,870.7,121901,700
Göppingen,Landkreis,642.3,259232,620
Heidelberg,Stadtkreis,108.8,155175,620
Heidenheim,Landkreis,627.1,135241,600
Heilbronn,Landkreis,1099.5,353609,620
Heilbronn (Stadt),Stadtkreis,99.9,131653,620
Hohenlohekreis,Landkreis,776.8,115335,580
Karlsruhe,Landkreis,1084.9,455350,670
Karlsruhe (Stadt),Stadtkreis,173.5,308197,670
Konstanz,Landkreis,817.9,291397,750
Lörrach,Landkreis,805.6,237212,800
Ludwigsburg,Landkreis,687.0,534808,630
Main-Tauber-Kreis,Landkreis,1304.1,133459,580
Mannheim,Stadtkreis,144.9,316256,620
Neckar-Odenwald-Kreis,Landkreis,1126.0,145681,600
Ortenaukreis,Landkreis,1860.8,443482,750
Ostalbkreis,Landkreis,1511.5,317263,600
Pforzheim,Stadtkreis,98.0,135087,650
Rastatt,Landkreis,738.8,231356,700
Ravensburg,Landkreis,1631.8,289725,750
Rems-Murr-Kreis,Landkreis,858.0,440103,630
Reutlingen,Landkreis,1092.5,293385,630
Rhein-Neckar-Kreis,Landkreis,1061.9,557819,620
Rottweil,Landkreis,769.9,140344,700
Schwäbisch Hall,Landkreis,1484.0,200597,600
Schwarzwald-Baar-Kreis,Landkreis,1025.0,213922,700
Sigmaringen,Landkreis,1204.3,132758,700
Stuttgart,Stadtkreis,207.4,613111,630
Tübingen,Landkreis,519.2,234123,630
Tuttlingen,Landkreis,734.4,137423,700
Ulm,Stadtkreis,118.7,126329,600
Waldshut,Landkreis,1131.0,171000,750
Zollernalbkreis,Landkreis,917.7,190000,650
