Kreis,Type,Area_km2,Population,Distance_from_Berlin_km
Amberg,Kreisfreie Stadt,,,
Aschaffenburg,Kreisfreie Stadt,,,
Augsburg,Kreisfreie Stadt,,,
Bamberg,Kreisfreie Stadt,,,
Bayreuth,Kreisfreie Stadt,,,
Coburg,Kreisfreie Stadt,,,
Erlangen,Kreisfreie Stadt,,,
Ingolstadt,Kreisfreie Stadt,,,
Kaufbeuren,Kreisfreie Stadt,,,
Kempten,Kreisfreie Stadt,,,
Landshut,Kreisfreie Stadt,,,
Memmingen,Kreisfreie Stadt,,,
München,Kreisfreie Stadt,,,
Nürnberg,Kreisfreie Stadt,,,
Passau,Kreisfreie Stadt,,,
Regensburg,Kreisfreie Stadt,,,
Rosenheim,Kreisfreie Stadt,,,
Schwabach,Kreisfreie Stadt,,,
Straubing,Kreisfreie Stadt,,,
Weiden,Kreisfreie Stadt,,,
Würzburg,Kreisfreie Stadt,,,
Fürth,Kreisfreie Stadt,,,
Hof,Kreisfreie Stadt,,,
Ansbach,Kreisfreie Stadt,,,
Neu-Ulm,Kreisfreie Stadt,,,
Aichach-Friedberg,Landkreis,,,
Altötting,Landkreis,,,
Amberg-Sulzbach,Landkreis,,,
Ansbach,Landkreis,,,
Aschaffenburg,Landkreis,,,
Augsburg,Landkreis,,,
Bad Kissingen,Landkreis,,,
Bad Tölz-Wolfratshausen,Landkreis,,,
Bamberg,Landkreis,,,
Bayreuth,Landkreis,,,
Berchtesgadener Land,Landkreis,,,
Cham,Landkreis,,,
Coburg,Landkreis,,,
Dachau,Landkreis,,,
Deggendorf,Landkreis,,,
Dillingen,Landkreis,,,
Dingolfing-Landau,Landkreis,,,
Donau-Ries,Landkreis,,,
Ebersberg,Landkreis,,,
Eichstätt,Landkreis,,,
Erding,Landkreis,,,
Erlangen-Höchstadt,Landkreis,,,
Forchheim,Landkreis,,,
Freising,Landkreis,,,
Freyung-Grafenau,Landkreis,,,
Fürstenfeldbruck,Landkreis,,,
Fürth,Landkreis,,,
Garmisch-Partenkirchen,Landkreis,,,
Günzburg,Landkreis,,,
Haßberge,Landkreis,,,
Hof,Landkreis,,,
Kelheim,Landkreis,,,
Kitzingen,Landkreis,,,
Kronach,Landkreis,,,
Kulmbach,Landkreis,,,
Landsberg am Lech,Landkreis,,,
Landshut,Landkreis,,,
Lichtenfels,Landkreis,,,
Lindau,Landkreis,,,
Main-Spessart,Landkreis,,,
Miesbach,Landkreis,,,
Miltenberg,Landkreis,,,
Mühldorf,Landkreis,,,
München,Landkreis,,,
Neuburg-Schrobenhausen,Landkreis,,,
Neumarkt,Landkreis,,,
Neustadt an der Aisch-Bad Windsheim,Landkreis,,,
Neustadt an der Waldnaab,Landkreis,,,
Neu-Ulm,Landkreis,,,
Nürnberger Land,Landkreis,,,
Oberallgäu,Landkreis,,,
Ostallgäu,Landkreis,,,
Passau,Landkreis,,,
Pfaffenhofen,Landkreis,,,
Regen,Landkreis,,,
Regensburg,Landkreis,,,
Rhön-Grabfeld,Landkreis,,,
Rosenheim,Landkreis,,,
Roth,Landkreis,,,
Rottal-Inn,Landkreis,,,
Schwandorf,Landkreis,,,
Starnberg,Landkreis,,,
Straubing-Bogen,Landkreis,,,
Tirschenreuth,Landkreis,,,
Traunstein,Landkreis,,,
Unterallgäu,Landkreis,,,
Weilheim-Schongau,Landkreis,,,
Weißenburg-Gunzenhausen,Landkreis,,,
Wunsiedel,Landkreis,,,
Würzburg,Landkreis,,,
