Kreis,Type,Area_km2,Population,Distance_from_Berlin_km
Altötting,Landkreis,569.35,109422,540
Amberg,Kreisfreie Stadt,50.14,42348,430
Amberg-Sulzbach,Landkreis,1255.75,103009,430
Ansbach,Kreisfreie Stadt,99.92,41681,470
Ansbach (Landkreis),Landkreis,1971.65,183000,470
Aschaffenburg,Kreisfreie Stadt,62.45,69187,400
Aschaffenburg (Landkreis),Landkreis,699.15,173504,400
Augsburg,Kreisfreie Stadt,146.84,301033,570
Augsburg (Landkreis),Landkreis,1071.12,261342,570
Bad Kissingen,Landkreis,1136.96,103100,400
