State,Contains
Baden-Württemberg,"Stuttgart, Karlsruhe, Mannheim, Freiburg, Heidelberg, Ulm, Pforzheim, Heilbronn"
Bavaria,"Munich, Nuremberg, Augsburg, Regensburg, Würzburg, Ingolstadt, Bamberg"
Berlin,"Mitte, Neukölln, Charlottenburg, Pankow, Treptow, Kreuzberg, Spandau, Marzahn, etc."
Brandenburg,"Potsdam, Cottbus, Brandenburg an der Havel, Frankfurt (Oder), Oranienburg"
Bremen,"Bremen, Bremerhaven"
Hamburg,Hamburg
Hesse,"Frankfurt am Main, Wiesbaden, Kassel, Darmstadt, Offenbach, Gießen"
Lower Saxony,"Hanover, Braunschweig, Oldenburg, Osnabrück, Wolfsburg, Göttingen"
Mecklenburg-Western Pomerania,"Schwerin, Rostock, Neubrandenburg, Greifswald"
North Rhine-Westphalia,"Cologne, Düsseldorf, Dortmund, Essen, Bonn, Aachen, Bielefeld"
Rhineland-Palatinate,"Mainz, Koblenz, Ludwigshafen, Trier, Kaiserslautern"
Saarland,"Saarbrücken, Neunkirchen, Homburg"
Saxony,"Dresden, Leipzig, Chemnitz, Zwickau, Plauen"
Saxony-Anhalt,"Magdeburg, Halle (Saale), Dessau-Roßlau, Wittenberg"
Schleswig-Holstein,"Kiel, Lübeck, Flensburg, Neumünster"
Thuringia,"Erfurt, Jena, Gera, Weimar, Suhl"
